%C4%AF+%C5%A1al%C4%AF+laikinai+dirbti+atsi%C5%B3stas+u%C5%BEsienietis%2C+kurio+nuolatin%C4%97+darbo+vieta+yra+u%C5%BEsienyje-lt = admittedTerm-admn-sts
%C4%AFgaliojimai+atlikti+patikrinimus-lt = admittedTerm-admn-sts
%C5%A1%C4%97riuotasis+vainik%C5%ABnas-lt = deprecatedTerm-admn-sts
numatomas+mokestinis+nuostolis-lt = admittedTerm-admn-sts
nuolatinis+kvietimas+dalyvauti+konkurse-lt = deprecatedTerm-admn-sts
pa%C5%A1ar%C5%B3+priedas-lt = admittedTerm-admn-sts
pamaina-lt = preferredTerm-admn-sts
pasi%C5%ABlymas+d%C4%97l+%C4%AFstatymo+gali%C4%85+turin%C4%8Dio+akto-lt = supersededTerm-admn-sts
perkrovos+pajamos-lt = preferredTerm-admn-sts
pjaustymo+patalpa-lt = preferredTerm-admn-sts
pra%C5%A1ymo+taikyti+RER+forma-lt = preferredTerm-admn-sts
profesini%C5%B3+pensij%C5%B3+sistema-lt = preferredTerm-admn-sts
puolimas+be+atrankos-lt = preferredTerm-admn-sts
pusiau+nugriebtas+pienas-lt = deprecatedTerm-admn-sts
ra%C5%A1ytinis+%C5%A1ali%C5%B3+parei%C5%A1kimas+ir+atsiliepimas-lt = supersededTerm-admn-sts
susijusi%C5%B3+klient%C5%B3+grup%C4%97-lt = preferredTerm-admn-sts
sviesto+riebumas-lt = preferredTerm-admn-sts
teiginys+apie+sveikatingum%C4%85-lt = supersededTerm-admn-sts
tikslin%C4%97+kaina-lt = admittedTerm-admn-sts
tolimasis+steb%C4%97jimas-lt = preferredTerm-admn-sts
u%C5%BE+teisingum%C4%85%2C+pagrindines+teises+ir+pilietyb%C4%99+atsakingas+Komisijos+narys-lt = supersededTerm-admn-sts
vidaus+apsauga-lt = admittedTerm-admn-sts
viduriavimas-lt = preferredTerm-admn-sts
Techninio+derinimo+darbo+grup%C4%97+%28pavojingos+chemin%C4%97s+med%C5%BEiagos+ir+preparatai%29-lt = supersededTerm-admn-sts
artimosios+%C5%A1viesos+pokrypis-lt = preferredTerm-admn-sts
automatinio+nuskaitymo-lt = admittedTerm-admn-sts
bendroji+sveikatos+draudimo+sistema-lt = preferredTerm-admn-sts
dehidratuotas+gliukoz%C4%97s+sirupas-lt = admittedTerm-admn-sts
dispersijos+apsikeitimo+sandoris-lt = admittedTerm-admn-sts
duomen%C5%B3+ry%C5%A1io+lygis-lt = deprecatedTerm-admn-sts
epidemiologinis+ry%C5%A1ys-lt = preferredTerm-admn-sts
oficialiai+pri%C5%BEi%C5%ABrint-lt = deprecatedTerm-admn-sts
palanki%C5%B3+s%C4%85lyg%C5%B3+neturintis+darbuotojas-lt = deprecatedTerm-admn-sts
pirkimas+skolon-lt = preferredTerm-admn-sts
prane%C5%A1imas+savo+iniciatyva-lt = preferredTerm-admn-sts
procesui+reikaling%C5%B3+dokumenta%C5%B3+%C4%AFteikimas-lt = supersededTerm-admn-sts
termi%C5%A1kai+apdorotas+pienas-lt = preferredTerm-admn-sts
%C4%AFkaitusi%C5%B3+stabd%C5%BEi%C5%B3+veiksmingumo+suma%C5%BE%C4%97jimo+bandymas-lt = preferredTerm-admn-sts
%C4%AFmok%C5%B3+gr%C4%85%C5%BEinimas-lt = preferredTerm-admn-sts
%C5%A1vies%C4%85+spinduliuojantis+%C5%A1viesos+diodas-lt = deprecatedTerm-admn-sts
%C5%BEalioji+darbo+vieta-lt = preferredTerm-admn-sts
%C5%BEuv%C5%B3+perdirbimo+laivas-lt = admittedTerm-admn-sts
ES+specialusis+%C4%AFgaliotinis+Sudane-lt = supersededTerm-admn-sts
Europos+S%C4%85jungos+regionini%C5%B3+j%C5%ABrini%C5%B3+paj%C4%97gum%C5%B3+stiprinimo+Somalio+pusiasalyje+misija-lt = supersededTerm-admn-sts
Techninio+derinimo+darbo+grup%C4%97+%28kosmetika%29-lt = supersededTerm-admn-sts
Vidur%C5%BEemio+j%C5%ABros+%C5%BEuvininkyst%C4%97s+bendroji+taryba-lt = supersededTerm-admn-sts
alyvpalmi%C5%B3+aliejus-lt = preferredTerm-admn-sts
ank%C5%A1tiniai+augalai-lt = deprecatedTerm-admn-sts
asmens+dokumentas-lt = preferredTerm-admn-sts
atsargus+patikrinimas-lt = preferredTerm-admn-sts
atsparumas+alyvoms-lt = admittedTerm-admn-sts
bendrasis+r%C5%ABg%C5%A1tingumas-lt = preferredTerm-admn-sts
bir%C5%BEin%C4%97+bendrov%C4%97-lt = preferredTerm-admn-sts
centrifugos+m%C4%97gintuv%C4%97lis-lt = admittedTerm-admn-sts
darbo+j%C4%97gos+paklausa-lt = preferredTerm-admn-sts
embrion%C5%B3+surinkimo+grup%C4%97-lt = admittedTerm-admn-sts
energijos+nevartojantis+pastatas-lt = preferredTerm-admn-sts
farmaciniai+duomenys-lt = preferredTerm-admn-sts
gamybos+gr%C4%85%C5%BEinamosios+i%C5%A1mokos-lt = admittedTerm-admn-sts
hidrintas+aliejus-lt = preferredTerm-admn-sts
inbredin%C4%97+linija-lt = deprecatedTerm-admn-sts
inspektavimo+ataskaita+laivo+kapitonui-lt = preferredTerm-admn-sts
islandin%C4%97+samana-lt = deprecatedTerm-admn-sts
kontrolinis+%C5%BEem%C4%97s+sklypas-lt = preferredTerm-admn-sts
kra%C5%A1tinio+kont%C5%ABro+gabaritinis+%C5%BEibintas-lt = preferredTerm-admn-sts
lauko+augalai-lt = preferredTerm-admn-sts
naudojimo+lygis-lt = preferredTerm-admn-sts
netinkamas+%C5%BEmon%C4%97ms+vartoti-lt = admittedTerm-admn-sts
netradicin%C4%97s+dujos-lt = deprecatedTerm-admn-sts
orientuot%C5%B3+skiedrant%C5%B3+plok%C5%A1t%C4%97-lt = preferredTerm-admn-sts
pardavimo+kanalas-lt = preferredTerm-admn-sts
per+maist%C4%85+plintanti+liga-lt = admittedTerm-admn-sts
rusvieji+j%C5%ABros+dumbliai-lt = supersededTerm-admn-sts
sausa+neto+mas%C4%97-lt = deprecatedTerm-admn-sts
skrepio+liga-lt = preferredTerm-admn-sts
%C4%AFprasta+byl%C4%85+nagrin%C4%97jan%C4%8Dio+teismo+sud%C4%97tis-lt = supersededTerm-admn-sts
%C4%AFprastas+nenumatytasis+atvejis-lt = deprecatedTerm-admn-sts
%C4%AFtariamas+u%C5%BEkr%C4%97stas+gyv%C5%ABnas-lt = preferredTerm-admn-sts
%C5%ABmaus+toksi%C5%A1kumo+klasi%C5%B3+metodas-lt = admittedTerm-admn-sts
Bendrijos+paramos+program%C5%B3+integruota+administravimo+ir+kontrol%C4%97s+sistema-lt = preferredTerm-admn-sts
ECOS+komisija-lt = supersededTerm-admn-sts
ES+%C5%A1iltnamio+efekt%C4%85+sukelian%C4%8Di%C5%B3+duj%C5%B3+apyvartini%C5%B3+tar%C5%A1os+leidim%C5%B3+prekybos+sistema-lt = preferredTerm-admn-sts
Islandijos+Respublika-lt = deprecatedTerm-admn-sts
Laisvo+asmen%C5%B3+jud%C4%97jimo+darbo+grup%C4%97-lt = supersededTerm-admn-sts
Migruojan%C4%8Di%C5%B3+darbuotoj%C5%B3+socialin%C4%97s+apsaugos+administracin%C4%97+komisija-lt = deprecatedTerm-admn-sts
Mokslini%C5%B3+tyrim%C5%B3+taryba-lt = supersededTerm-admn-sts
Protokolas+d%C4%97l+Teisingumo+Teismo+statuto-lt = supersededTerm-admn-sts
Regioninis+ginkl%C5%B3+kontrol%C4%97s+patikros+ir+%C4%AFgyvendinimo+pagalbos+centras-lt = supersededTerm-admn-sts
ankstyvas+susitarimas+per+antr%C4%85j%C4%AF+svarstym%C4%85-lt = deprecatedTerm-admn-sts
arboristas-lt = preferredTerm-admn-sts
arkli%C5%B3+infekcin%C4%97+anemija-lt = preferredTerm-admn-sts
atsakovas%2C+kuriam+buvo+tinkamai+%C4%AFteiktas+ie%C5%A1kinys-lt = supersededTerm-admn-sts
atvirk%C5%A1tinis+kastuvas-lt = admittedTerm-admn-sts
baigiamasis+vertinimas-lt = preferredTerm-admn-sts
branduolio+membrana-lt = preferredTerm-admn-sts
chlordifluormetanas-lt = preferredTerm-admn-sts
dehidratavimas-lt = preferredTerm-admn-sts
did%C5%BEiausia+nauda-lt = admittedTerm-admn-sts
erdv%C4%97+be+vidaus+sien%C5%B3-lt = preferredTerm-admn-sts
freonas+22-lt = admittedTerm-admn-sts
galvos+technini%C5%B3+savybi%C5%B3+kriterijus-lt = deprecatedTerm-admn-sts
gatavas+produktas-lt = admittedTerm-admn-sts
gera+agrarin%C4%97+ir+aplinkosaugos+b%C5%ABkl%C4%97-lt = preferredTerm-admn-sts
grynasis+sausasis+svoris-lt = preferredTerm-admn-sts
gyvenamosios+vietos+%C5%A1alis-lt = admittedTerm-admn-sts
i%C5%A1ankstinis+susitarimas+per+antr%C4%85j%C4%AF+svarstym%C4%85-lt = preferredTerm-admn-sts
inaktyvuota+vakcina-lt = deprecatedTerm-admn-sts
iniciatyva+%E2%80%9EJaunimo+garantijos%E2%80%9C-lt = deprecatedTerm-admn-sts
kelion%C4%97+%C4%AF+darb%C4%85+ir+atgal-lt = admittedTerm-admn-sts
kolektyvinis+teisi%C5%B3+gynimas-lt = preferredTerm-admn-sts
lytin%C4%97+liga-lt = admittedTerm-admn-sts
m%C4%97sos+%C4%AFmon%C4%97-lt = preferredTerm-admn-sts
m%C4%97sos+apdorojimo+%C4%AFmon%C4%97-lt = deprecatedTerm-admn-sts
ma%C5%BEatar%C5%A1%C4%97+technologija-lt = preferredTerm-admn-sts
makrofinansin%C4%97+parama-lt = preferredTerm-admn-sts
makrolygio+rizikos+ribojimo+reguliavimas-lt = admittedTerm-admn-sts
nei%C5%A1tirpusi+dalis-lt = admittedTerm-admn-sts
nuostoli%C5%B3+padengimo+paj%C4%97gumai-lt = preferredTerm-admn-sts
nusodinimo+linija-lt = preferredTerm-admn-sts
pagalba+nepaprastosios+pad%C4%97ties+atveju-lt = admittedTerm-admn-sts
paskolos+gr%C4%85%C5%BEinimo+atid%C4%97jimas-lt = admittedTerm-admn-sts
patentavimo+s%C4%85naud%C5%B3+pagalba-lt = preferredTerm-admn-sts
pauk%C5%A1%C4%8Di%C5%B3+pasterelioz%C4%97-lt = preferredTerm-admn-sts
piktybin%C4%97+vir%C5%A1utini%C5%B3+kv%C4%97pavimo+tak%C5%B3+kar%C5%A1tin%C4%97-lt = admittedTerm-admn-sts
pratr%C5%ABkusi+p%C5%ABslel%C4%97-lt = preferredTerm-admn-sts
probuotojas-lt = preferredTerm-admn-sts
radiologinis+i%C5%A1sisklaidantis+%C4%AFtaisas-lt = deprecatedTerm-admn-sts
redukuojan%C4%8Diosios+med%C5%BEiagos-lt = preferredTerm-admn-sts
rinkos+metai-lt = deprecatedTerm-admn-sts
s%C5%ABki%C5%B3+skai%C4%8Dius-lt = preferredTerm-admn-sts
sankcij%C5%B3+vykdymas-lt = preferredTerm-admn-sts
skystakristalis+monitorius-lt = preferredTerm-admn-sts
smulkinta+m%C4%97sa-lt = preferredTerm-admn-sts
su+%C4%AFtampa-lt = preferredTerm-admn-sts
sugerti-lt = preferredTerm-admn-sts
u%C5%BEkre%C4%8Diamasis+gastroenteritas-lt = preferredTerm-admn-sts
vadovyb%C4%97s+%C4%AFvertis-lt = preferredTerm-admn-sts
valstybinis+skerdyklos+veterinarijos+gydytojas-lt = preferredTerm-admn-sts
variklio+paleidimo+%C4%AFtaisas-lt = preferredTerm-admn-sts
%C5%A1vies%C4%85+atspindintis+%C4%AFtaisas-lt = supersededTerm-admn-sts
%C5%BDuvininkyst%C4%97s+taryba-lt = supersededTerm-admn-sts
Centrinei+Amerikai+ir+Meksikai+skirta+saugumo+strategija-lt = supersededTerm-admn-sts
Dohos+pl%C4%97tros+deryb%C5%B3+raundas-lt = deprecatedTerm-admn-sts
Mianmaras+%2F+Birma-lt = preferredTerm-admn-sts
Personalo+mokymo+skyrius-lt = supersededTerm-admn-sts
Profilaktin%C4%97s+sveikatos+prie%C5%BEi%C5%ABros+ir+saugos+darbe+skyrius-lt = supersededTerm-admn-sts
abejotinas-lt = preferredTerm-admn-sts
akyta+strukt%C5%ABra-lt = admittedTerm-admn-sts
analiz%C4%97-lt = preferredTerm-admn-sts
bir%C5%BEinis+vertybinis+popierius-lt = preferredTerm-admn-sts
demografin%C4%97+pad%C4%97tis-lt = preferredTerm-admn-sts
disfunkcija-lt = supersededTerm-admn-sts
faktin%C4%97+alkoholio+koncentracija+t%C5%ABrio+procentais-lt = preferredTerm-admn-sts
finansinio+perdavimo+teis%C4%97s+galimyb%C4%97-lt = deprecatedTerm-admn-sts
foninis+kiekis-lt = deprecatedTerm-admn-sts
geriausia+patirtis-lt = preferredTerm-admn-sts
gyv%C5%ABno+tapatyb%C4%97s+nustatymas-lt = preferredTerm-admn-sts
i%C5%A1darin%C4%97jimas-lt = preferredTerm-admn-sts
jau%C4%8Diai-lt = deprecatedTerm-admn-sts
kainos+ma%C5%BEinimas-lt = preferredTerm-admn-sts
kosmin%C4%97s+erdv%C4%97s+teis%C4%97-lt = deprecatedTerm-admn-sts
l%C4%99%C5%A1is-lt = preferredTerm-admn-sts
lygialapis+alavijas-lt = deprecatedTerm-admn-sts
lyginamoji+informacija-lt = admittedTerm-admn-sts
masin%C4%97+dalis-lt = preferredTerm-admn-sts
metabolin%C4%97+aktyvacija-lt = preferredTerm-admn-sts
mi%C5%A1ri+%C5%BEemdirbyst%C4%97-lt = admittedTerm-admn-sts
nebendradarbiaujantys+jurisdikcij%C4%85+turintys+subjektai-lt = preferredTerm-admn-sts
neteis%C4%97tas+v%C4%97lesnis+jud%C4%97jimas-lt = deprecatedTerm-admn-sts
netradicin%C4%97s+gavybos+dujos-lt = preferredTerm-admn-sts
nusikalstamumo+prevencija-lt = preferredTerm-admn-sts
odos+sudirginimas+balais-lt = admittedTerm-admn-sts
pa%C5%A1aras-lt = preferredTerm-admn-sts
pagalba+u%C5%BEimtumui-lt = admittedTerm-admn-sts
pagalbos+planas%2C+atleistas+nuo+prane%C5%A1imo+pagal+grupinio+atleidimo+reglament%C4%85-lt = deprecatedTerm-admn-sts
pagaminamos+energijos+kiekio+poky%C4%8Dio+rodiklis-lt = deprecatedTerm-admn-sts
pataisinis+faktorius-lt = admittedTerm-admn-sts
pra%C5%A1ymas+panaikinti-lt = preferredTerm-admn-sts
readmisijos+susitarimas-lt = preferredTerm-admn-sts
rizikos+profilis-lt = preferredTerm-admn-sts
ry%C5%A1i%C5%B3+palaikymo+agent%C5%ABra-lt = admittedTerm-admn-sts
s%C4%85veika-lt = admittedTerm-admn-sts
saugus+elektroninis+para%C5%A1as-lt = admittedTerm-admn-sts
sausasis+i%C5%A1+dalies+nugriebtas+pienas-lt = deprecatedTerm-admn-sts
skaldyti+ry%C5%BEiai-lt = preferredTerm-admn-sts
sulfatin%C4%97s+i%C5%A1viros-lt = preferredTerm-admn-sts
ta%C5%A1kinis+pakraujavimas-lt = deprecatedTerm-admn-sts
tinkamai+dokumentais+pagr%C4%AFstas+skundas-lt = admittedTerm-admn-sts
triktis-lt = preferredTerm-admn-sts
%C4%AFsp%C4%97jimas+apie+gr%C4%97sm%C4%99+sveikatai-lt = admittedTerm-admn-sts
%C4%AFstatymo+gali%C4%85+turin%C4%8Di%C5%B3+akt%C5%B3+svarstymas-lt = supersededTerm-admn-sts
%C5%A1iaur%C4%97s+krabas-lt = supersededTerm-admn-sts
%C5%BEem%C4%97s+%C5%ABkio+paskirties+%C5%BEem%C4%97%2C+kur+pusininkaujama-lt = admittedTerm-admn-sts
2-asis+direktoratas+%28skaidrumas%29-lt = supersededTerm-admn-sts
COSCE-lt = admittedTerm-admn-sts
ES+ir+Japonijos+ry%C5%A1i%C5%B3+grup%C4%97-lt = supersededTerm-admn-sts
Joule%E2%80%99o+rei%C5%A1kinys-lt = admittedTerm-admn-sts
Prieglobs%C4%8Dio%2C+viz%C5%B3%2C+imigracijos%2C+sien%C5%B3+ir+%C5%A0engeno+direktoratas-lt = supersededTerm-admn-sts
TVR+klausim%C5%B3+i%C5%A1or%C4%97s+aspekto+darbo+grup%C4%97-lt = supersededTerm-admn-sts
Tarptautin%C4%97+migracijos+tarnyba-lt = supersededTerm-admn-sts
Vokietijos+Federacin%C4%97s+Respublikos+Bundesratas-lt = preferredTerm-admn-sts
antriniai+padariniai-lt = admittedTerm-admn-sts
arklini%C5%B3+serumas-lt = preferredTerm-admn-sts
atitinkamas+apkrovos+objektas-lt = deprecatedTerm-admn-sts
b%C5%ABdingoji+kreiv%C4%97-lt = preferredTerm-admn-sts
bazin%C4%97+didelio+poveikio+technologija-lt = preferredTerm-admn-sts
biotransformacija-lt = admittedTerm-admn-sts
byl%C5%B3+perdavimo+protokolas-lt = supersededTerm-admn-sts
centrin%C4%97+duomen%C5%B3+saugykla-lt = deprecatedTerm-admn-sts
darbo+rinkos+lankstumo+ir+u%C5%BEimtumo+garantij%C5%B3+pusiausvyra-lt = preferredTerm-admn-sts
daugiasektor%C4%97s+pagalbos+schema-lt = preferredTerm-admn-sts
demersin%C4%97s+r%C5%AB%C5%A1ys-lt = preferredTerm-admn-sts
epifitin%C4%97+tilandsija-lt = deprecatedTerm-admn-sts
europinis+%C4%AFstatymas-lt = supersededTerm-admn-sts
gabarit%C5%B3+%C5%BEenklinimas-lt = preferredTerm-admn-sts
gaivalin%C4%97+nelaim%C4%97-lt = preferredTerm-admn-sts
galvos+elgsenos+kriterijus-lt = deprecatedTerm-admn-sts
garantin%C4%97s+%C4%AFmokos+nustatymas-lt = preferredTerm-admn-sts
i%C5%A1krita-lt = admittedTerm-admn-sts
i%C5%A1samus+apra%C5%A1ymas-lt = deprecatedTerm-admn-sts
j%C5%ABrini%C5%B3+teritorij%C5%B3+planavimas-lt = preferredTerm-admn-sts
juslin%C4%97s+savyb%C4%97s-lt = preferredTerm-admn-sts
krizi%C5%B3+koordinavimo+mechanizmas-lt = supersededTerm-admn-sts
leistini+asignavimai-lt = deprecatedTerm-admn-sts
m%C4%97sos+produktas-lt = admittedTerm-admn-sts
ma%C5%BEiausioji+pardavimo+kaina-lt = preferredTerm-admn-sts
makrolygio+rizikos+ribojimo+statistika-lt = deprecatedTerm-admn-sts
migracijos+saldas-lt = deprecatedTerm-admn-sts
nereguliari+i%C5%A1moka-lt = preferredTerm-admn-sts
nusierinimo+laipsnis-lt = deprecatedTerm-admn-sts
organinis+kuras-lt = deprecatedTerm-admn-sts
p%C5%ABkuotasis+p%C4%97dul%C4%97-lt = deprecatedTerm-admn-sts
prie%C5%A1inis+ie%C5%A1kinys-lt = admittedTerm-admn-sts
principas+%E2%80%9Evis%C5%B3+pirma+galvokime+apie+ma%C5%BEuosius%E2%80%9C-lt = preferredTerm-admn-sts
priverstinis+vykdymas-lt = supersededTerm-admn-sts
sald%C5%BEioji+vy%C5%A1nia-lt = deprecatedTerm-admn-sts
saul%C4%97tumo+%C5%BEem%C4%97lapis-lt = deprecatedTerm-admn-sts
savaiminis+mokymasis-lt = preferredTerm-admn-sts
sincitija-lt = admittedTerm-admn-sts
specialiosios+Bendrijos+taisykl%C4%97s-lt = preferredTerm-admn-sts
sutaptini%C5%B3+i%C5%A1mok%C5%B3+vengimas-lt = preferredTerm-admn-sts
t%C5%ABrin%C4%97+alkoholio+koncentracija-lt = supersededTerm-admn-sts
tarpusavyje+susijusi%C5%B3+klient%C5%B3+grup%C4%97-lt = admittedTerm-admn-sts
tikrinamasis+vizitas+vietoje-lt = preferredTerm-admn-sts
tre%C5%A1n%C4%97-lt = supersededTerm-admn-sts
trirat%C4%97+variklin%C4%97+transporto+priemon%C4%97-lt = admittedTerm-admn-sts
vaisi%C5%B3+sul%C4%8Di%C5%B3+milteliai-lt = admittedTerm-admn-sts
vertinti-lt = preferredTerm-admn-sts
vienetas+pagal+viet%C4%85-lt = preferredTerm-admn-sts
%C5%A1vaistiklis-lt = preferredTerm-admn-sts
%C5%A1viesos+stiprio+koeficientas-lt = preferredTerm-admn-sts
%C5%BDem%C4%97s+%C5%ABkio+strukt%C5%ABr%C5%B3%2C+kaimo+pl%C4%97tros%2C+%C5%BEem%C4%97s+%C5%ABkio+pinig%C5%B3+ir+finansini%C5%B3+klausim%C5%B3%2C+augal%C5%B3+sveikatos%2C+ekologi%C5%A1k%C5%B3+produkt%C5%B3%2C+maisto+kokyb%C4%97s%2C+geneti%C5%A1kai+modifikuot%C5%B3+organizm%C5%B3%2C+Codex+Alimentarius+ir+augal%C5%B3+apsaugos+direktoratas-lt = supersededTerm-admn-sts
%C5%BDem%C4%97s+%C5%ABkio+taryba-lt = supersededTerm-admn-sts
%C5%BEvejybos+%C4%AFrankis-lt = preferredTerm-admn-sts
%C5%BEvejybos+draudimo+rajonas-lt = preferredTerm-admn-sts
Atlanto+uolinis+krabas-lt = supersededTerm-admn-sts
ES+ir+Kinijos+t%C4%99stinio+darbo+komitetas-lt = supersededTerm-admn-sts
ESGP-lt = supersededTerm-admn-sts
Europos+rasizmo+ir+ksenofobijos+kontrol%C4%97s+centras-lt = supersededTerm-admn-sts
Svazilando+Karalyst%C4%97-lt = supersededTerm-admn-sts
T+limfocitas-lt = preferredTerm-admn-sts
Vidaus+rinkos+derinimo+tarnyba+%28preki%C5%B3+%C5%BEenklams+ir+dizainams%29-lt = supersededTerm-admn-sts
atnaujinta+Lisabonos+strategija+ekonomikos+augimui+ir+darbo+viet%C5%B3+k%C5%ABrimui-lt = deprecatedTerm-admn-sts
balasto+cisterna-lt = preferredTerm-admn-sts
betono+mi%C5%A1inio+purk%C5%A1tuvas-lt = preferredTerm-admn-sts
biologinis+agentas-lt = admittedTerm-admn-sts
darbo+viet%C5%B3+k%C5%ABrimo+pagalba-lt = preferredTerm-admn-sts
didelis+ekologinis+%C4%AFvykis-lt = preferredTerm-admn-sts
duomen%C5%B3+perdavimo+kanalas-lt = preferredTerm-admn-sts
dvejopais+degalais+varoma+transporto+priemon%C4%97-lt = admittedTerm-admn-sts
ekonomikos+stagnacija-lt = deprecatedTerm-admn-sts
ex+post+vertinimas-lt = admittedTerm-admn-sts
gar%C5%B3+generatorius-lt = deprecatedTerm-admn-sts
gauruotoji+dioskor%C4%97ja-lt = preferredTerm-admn-sts
gr%C4%AF%C5%BEtamosios+srov%C4%97s+grandin%C4%97-lt = admittedTerm-admn-sts
greitis+%C5%BEem%C4%97s+at%C5%BEvilgiu-lt = preferredTerm-admn-sts
gyvavimo+ciklo+analiz%C4%97-lt = preferredTerm-admn-sts
gyvulini%C5%B3+ir+augalini%C5%B3+riebal%C5%B3+bei+aliejaus+gamyba-lt = deprecatedTerm-admn-sts
intervencin%C4%97+uodegin%C4%97-lt = preferredTerm-admn-sts
ischemija-lt = admittedTerm-admn-sts
karantino+patalpa-lt = preferredTerm-admn-sts
krovinio+svoris-lt = admittedTerm-admn-sts
kult%C5%ABriniai+augalai-lt = preferredTerm-admn-sts
kur%C4%8Diasis-lt = preferredTerm-admn-sts
laiko+pastovioji-lt = admittedTerm-admn-sts
laivo+sekimas-lt = deprecatedTerm-admn-sts
licencijavimas-lt = admittedTerm-admn-sts
mar%C5%A1rutizatotrius-lt = admittedTerm-admn-sts
mi%C5%A1rusis+ve%C5%BEimas-lt = preferredTerm-admn-sts
ne%C4%AFgalumo+i%C5%A1mokos-lt = preferredTerm-admn-sts
nuolatinis+konkursas-lt = preferredTerm-admn-sts
nuosava+transporto+priemon%C4%97s+mas%C4%97-lt = deprecatedTerm-admn-sts
nustatyt%C5%B3+reikalavim%C5%B3+netenkinan%C4%8Dio+ie%C5%A1kinio+nepriimtinumas-lt = supersededTerm-admn-sts
pagalba+darbdaviams-lt = preferredTerm-admn-sts
pagalba+inovacijoms-lt = deprecatedTerm-admn-sts
pagrind%C5%B3+susitarimas+d%C4%97l+bendradarbiavimo-lt = preferredTerm-admn-sts
pasaitas-lt = preferredTerm-admn-sts
raudonosios+sarac%C4%97nijos+alabaminis+por%C5%AB%C5%A1is-lt = supersededTerm-admn-sts
specialusis+komitetas-lt = admittedTerm-admn-sts
strategija+%E2%80%9EEuropa+2020%E2%80%9C-lt = preferredTerm-admn-sts
suapvalinimo+spindulys-lt = deprecatedTerm-admn-sts
suk%C4%8Diavimas+prid%C4%97tin%C4%97s+vert%C4%97s+mokes%C4%8Diu-lt = preferredTerm-admn-sts
tarpuskaitos+namai-lt = preferredTerm-admn-sts
valstybinis+veterinarijos+gydytojas+arba+%C4%AFgaliotasis+veterinarijos+gydytojas-lt = preferredTerm-admn-sts
vidutinis+svertinis+dempingo+skirtumas-lt = preferredTerm-admn-sts
%C4%AFprastin%C4%97+gyvenamoji+vieta-lt = preferredTerm-admn-sts
%C5%ABkin%C4%97+veikla-lt = admittedTerm-admn-sts
%C5%BEvynelin%C4%97-lt = deprecatedTerm-admn-sts
Bendrijos+antigen%C5%B3+ir+vakcin%C5%B3+bankas-lt = supersededTerm-admn-sts
Bendrijos+etalonin%C4%97+klasikinio+kiauli%C5%B3+maro+tyrimo+laboratorija-lt = preferredTerm-admn-sts
Bendrovi%C5%B3+teis%C4%97s+darbo+grup%C4%97+%28Akcinink%C5%B3+teis%C4%97s%29-lt = supersededTerm-admn-sts
CARIFORUM+ir+ES+konsultacinis+komitetas-lt = preferredTerm-admn-sts
CD8%2BT+limfocitas-lt = preferredTerm-admn-sts
Europos+Bendrij%C5%B3+oficialusis+leidinys-lt = supersededTerm-admn-sts
Europos+sausr%C5%B3+steb%C4%97jimo+sistema-lt = admittedTerm-admn-sts
Libijos+Arab%C5%B3+Socialistin%C4%97+Liaudies+D%C5%BEamachirija-lt = supersededTerm-admn-sts
PIT-lt = supersededTerm-admn-sts
Personalo+ir+administracijos+GD-lt = supersededTerm-admn-sts
Pilie%C4%8Di%C5%B3+konsultavimo+tarnyba-lt = supersededTerm-admn-sts
Protokolas+d%C4%97l+Europos+bendrijos+steigimo+sutarties+141+straipsnio-lt = supersededTerm-admn-sts
U%C5%BEimtumo%2C+socialini%C5%B3+reikal%C5%B3+ir+lygi%C5%B3+galimybi%C5%B3+generalinis+direktoratas-lt = supersededTerm-admn-sts
absorbcijos+geba-lt = admittedTerm-admn-sts
apdailos+skiedinys-lt = preferredTerm-admn-sts
archipelagas-lt = admittedTerm-admn-sts
atsakomyb%C4%97s+u%C5%BE+prieglobs%C4%8Dio+pra%C5%A1ytoj%C4%85+per%C4%97mimas-lt = admittedTerm-admn-sts
balsavimas+u%C5%BE+vis%C4%85+tekst%C4%85-lt = deprecatedTerm-admn-sts
bekaul%C4%97+m%C4%97sa-lt = preferredTerm-admn-sts
bendradarbiavimo+ir+tikrinimo+mechanizmas-lt = preferredTerm-admn-sts
bendras+pagamintos+elektros+energijos+kiekis-lt = admittedTerm-admn-sts
did%C5%BEiausiasis+dr%C4%97gm%C4%97s+kiekis-lt = admittedTerm-admn-sts
dieninio+eksploatavimo+%C5%BEibintas-lt = deprecatedTerm-admn-sts
dr%C4%97gnasis+r%C5%ABg%C5%A1tinis+plautuvas-lt = preferredTerm-admn-sts
finansinio+stabilumo+stiprinimo+priemon%C4%97-lt = preferredTerm-admn-sts
grotin%C4%97+str%C4%97l%C4%97-lt = preferredTerm-admn-sts
i%C5%A1analizuojama+tiriamosios+med%C5%BEiagos+koncentracija-lt = admittedTerm-admn-sts
ie%C5%A1kinio+atsisakanti+%C5%A1alis-lt = supersededTerm-admn-sts
intervencinis+pakr%C5%ABtinys-lt = deprecatedTerm-admn-sts
intoksikacija-lt = admittedTerm-admn-sts
kedrenio+por%C5%AB%C5%A1is+%E2%80%93+oaxacensis-lt = deprecatedTerm-admn-sts
kieta+dalis-lt = deprecatedTerm-admn-sts
klampioji+sankaba-lt = preferredTerm-admn-sts
koordinavimo+%C4%AFstaiga-lt = preferredTerm-admn-sts
